,                        Шинэ жилийн хөтөлбөрийн үйл ажиллагаа нь бүхэлдээ coin цуглуулах үйлдэлд тулгуурлана. Хувцаслалт нь Ugly christmas sweater байна.,,,,,,,,
№,Үйл ажиллагаа,Эхлэх цаг,Дуусах цаг,Тайлбар,Цуглуулах coin,Column 1,Column 2,,
,Автобус хөдлөх,12:00:00 PM,14:00:00 PM,"Park Place оффис дээр бүгдээрээ цуглаж, автобусандаа суун хөдөлнө. Зохион байгуулагч багийн гишүүн хариуцан явах ба хөгжилтэй тоглоом тоглуулж, уур амьсгалыг бүрдүүлнэ. Өдрийн турш явагдах тэмцээний багаар нь хувааж, таних тэмдгийг нь тарааж өгнө. Автобус дотор анхны QR болох юу ч авч орохгүй гэдгийг зарлана.",-,,,,"""Ugly christmas sweater"" жишээ"
1,"Угтаж авах, багийн таних тэмдэг тараах",14:00:00 PM,14:20:00 PM,"Зочдоо угтаж авах, өдрийн дүрэм танилцуулах",-,,,,
2,House QR hunt,14:20:00 PM,19 :00:00 PM,"Хаустайгаа танилцаж, байрлуулсан QR олж даалгавар биелүүлнэ. Энэ нь шилдэг баг шалгаруулах хүртэл  өдрийн турш эсвэл бүх QR даалгавар дуустал явна. Нэг QR даалгаврыг нэг л удаа биелүүлэх боломжтой.",Даалгаварын QR дээрх тайлбарт цуглуулах coin-ны тоо байна.,,,,
3,Lunch,14:30:00 PM,15:30:00 PM,Өдрийн зоог,-,,,,
4,Team challenge,15:30:00 PM,16:00:00 PM,Баг тус бүр өөрсдийн дураар tiktok сонгож хийх ба бүх гишүүдийг оролцуулсан байх ёстой.,3 coin,,,,
5,Talent showcase&chilling time,16:00:00 PM,16:30:00 PM,"Баг бүр бэлдсэн үзүүлбэрээ үзүүлж, багтаа оноо авна.",5 coin,,,,
,Fun and Physical game,16:30:00 PM,17:00:00PM,"Хөгжөөнт, авхаалж самбаа шаардсан тоглоом тоглож багтаа оноо цуглуулна.",4 coin,,,,
6,Lucky box,17:00:00 PM,17:20:00 PM,"3 төрлийн тус бүрийн оноо, даалгавруудтай хайрцаг байх бөгөөд энэ хүртэл  хамгийн өндөр оноо цуглуулсан хүмүүс нь сонгож биелүүлэх боломжтой.",-,,,,
,Захирлын бэлэг сугалуулах,17:20:00PM,18:00:00PM,Газрын захиралд ирсэн мэндчилгээний бэлгүүдийг ажилчдад сугалуулж тараах.,-,,,,
,Завсарлага(Хувцас солих),18:00:00PM,18:20:00PM ,"Ugly christmas sweaters-ээ сольж, баг зүүж гоёмсог хувцас өмсөж бэлдэнэ.",-,,,,
9,Dinner,18:20:00  PM,19:20:00 PM,"Оройн зоог, баярын бялуу",-,,,,
8,Secret Santa,19:20:00  PM,19:50:00  PM,"Шинэ жилийн өдрөөс өмнө 5 өдөр бэлэг солилцох ба хамгийн сүүлийн бэлгийг гоёмсог баглаж зөвхөн өгөх хүнийхээ нэрийг болон өөрийгөө илтгэх нэг үг, өгүүлбэр бичиж үлдээж, авч буй хүнээрээ таалгана.",Secret Santa-гаа таасан хүн бүрт 1 coin,,,,
,Award ,19:50:00 PM,20:30:00 PM,"Хамгийн шилдэг баг болон шилдэг хувцаслалт шалгаруулна. Спорт, урлагийн амжилт гаргасан хүмүүст бэлэг өгнө. Бэлэг сугалуулна.",-,,,,
7,Cover singer,20:30:00 PM,20:50:00 PM,"Ковер дуучин ирж, үзүүлбэрээ үзүүлнэ.",-,,,,
11,After party,20:50:00 PM,22:40:00 PM,"Чөлөөт цаг/3 zone гаргаж бэлдэнэ. Үүнд нь gaming, dancing, chill/",-,,,,
12,Mini Countdown for New Year,22:50:00 PM,23:00:00 PM,"Бүгд гадаа гарч, богино хэмжээний шинэ жилийн countdown хийнэ. Шинэ жил уур амьсгалыг илүү мэдрүүлэх. Сүүлийн 15 секундээс бүгд тоолон 11цаг 00 минут болоход салют буудаж, оргилуун дарс буудуулан шинэ жилийн үйл ажиллагаа хамгийн сүүлийн ажил дуусна.",-,,,,
